Accesion,Organism,Source
LN595171.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597712.1,synthetic construct,synthetic construct
JF719728.1,Escherichia phage phiX174,Escherichia phage phiX174
HM753666.1,Escherichia phage phiX174,Escherichia phage phiX174
LC597800.1,synthetic construct,synthetic construct
XR_002394016.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MZ366784.1,Opuntia quimilo,Opuntia quimilo
LN591019.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583070.1,Vitis davidii,Vitis davidii
ON510785.1,Tuber sp.,Tuber sp.
CP094108.1,Helicobacter pylori,Helicobacter pylori
HM753682.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590714.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP113866.1,Caldicellulosiruptor acetigenus,Caldicellulosiruptor acetigenus
LN590857.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590672.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597674.1,synthetic construct,synthetic construct
OX240766.1,Danio rerio,Danio rerio (zebrafish)
MW583108.1,Ampelocissus ascendiflora,Ampelocissus ascendiflora
LN596362.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_044649302.1,Mangifera indica,Mangifera indica (mango)
LN590678.1,Cyprinus carpio,Cyprinus carpio (common carp)
JF719727.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590965.1,Cyprinus carpio,Cyprinus carpio (common carp)
BK037872.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
HM753675.1,Escherichia phage phiX174,Escherichia phage phiX174
MG188309.1,Cloning vector pCA-DEST2330,Cloning vector pCA-DEST2330
LN590995.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188296.1,Cloning vector pCA-DEST2200,Cloning vector pCA-DEST2200
LN590717.1,Cyprinus carpio,Cyprinus carpio (common carp)
KY555145.1,Caulobacter phage Ccr29,Caulobacter phage Ccr29
OV196275.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
HG998512.1,Oryza rufipogon,chloroplast Oryza rufipogon
XR_002394014.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
HM753658.1,Escherichia phage phiX174,Escherichia phage phiX174
LC597756.1,synthetic construct,synthetic construct
MW583082.1,Vitis girdiana,Vitis girdiana
LC597801.1,synthetic construct,synthetic construct
LN590696.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188282.1,Cloning vector pCA-DEST1300,Cloning vector pCA-DEST1300
LN594250.1,Cyprinus carpio,Cyprinus carpio (common carp)
LT703002.1,Sphingorhabdus sp. Alg231-15,Sphingorhabdus sp. Alg231-15
NC_047813.1,Staphylococcus phage Andhra,Staphylococcus phage Andhra
MW583071.1,Vitis tsoi,Vitis tsoi
LN594921.1,Cyprinus carpio,Cyprinus carpio (common carp)
BK055992.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
LN592402.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN592771.1,Cyprinus carpio,Cyprinus carpio (common carp)
JF719726.1,Escherichia phage phiX174,Escherichia phage phiX174
LC183541.1,Dioon sonorense,Dioon sonorense
XR_002394015.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XR_008193603.1,Gossypium raimondii,Gossypium raimondii
CP091824.1,Klebsiella pneumoniae,Klebsiella pneumoniae
LC597744.1,synthetic construct,synthetic construct
XR_002394009.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
CP002164.1,Caldicellulosiruptor obsidiansis OB47,Caldicellulosiruptor obsidiansis OB47
BK048605.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
HM753686.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590682.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394022.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
OV196467.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LN594502.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188315.1,Cloning vector pCA-DEST2420,Cloning vector pCA-DEST2420
LN591055.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590697.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_001560983.1,Acropora digitifera,Acropora digitifera
MF426915.1,Synthetic Enterobacteria phage CryptX174,Synthetic Enterobacteria phage CryptX174
XR_002394013.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN598283.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583081.1,Vitis cinerea,Vitis cinerea
OX328279.1,Chamaenerion angustifolium,Chamaenerion angustifolium
LC183535.1,Dioon merolae,Dioon merolae
MG188300.1,Cloning vector pCA-DEST2210,Cloning vector pCA-DEST2210
MW583050.1,Vitis chunganensis,Vitis chunganensis
LN590875.1,Cyprinus carpio,Cyprinus carpio (common carp)
JQ764990.1,Escherichia phage phiX174,Escherichia phage phiX174
MW583063.1,Vitis hancockii,Vitis hancockii
LC529902.1,Asarum shuttleworthii,chloroplast Asarum shuttleworthii
MZ366773.1,Opuntia basilaris,Opuntia basilaris
MW583061.1,Vitis ruyuanensis,Vitis ruyuanensis
MW583046.1,Vitis adenoclada,Vitis adenoclada
LC597763.1,synthetic construct,synthetic construct
LC529901.1,Asarum satsumense,chloroplast Asarum satsumense
XR_002394012.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
AL049610.9,Homo sapiens,Homo sapiens (human)
MW583073.1,Vitis vinifera,Vitis vinifera (wine grape)
BK040575.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
LN595047.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591137.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590731.1,Cyprinus carpio,Cyprinus carpio (common carp)
MG188289.1,Cloning vector pCA-DEST1400,Cloning vector pCA-DEST1400
XM_025580147.1,Aspergillus saccharolyticus JOP 1030-1,Aspergillus saccharolyticus JOP 1030-1
HM753671.1,Escherichia phage phiX174,Escherichia phage phiX174
MT364888.1,Human alphaherpesvirus 2,Human alphaherpesvirus 2 (Herpes simplex virus 2)
HM753663.1,Escherichia phage phiX174,Escherichia phage phiX174
LC597806.1,synthetic construct,synthetic construct
MH378441.1,Sinsheimervirus phiX174,Sinsheimervirus phiX174
LN590851.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380021.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590690.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN595230.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_021428957.1,Herrania umbratica,Herrania umbratica
AF299313.1,Escherichia phage phiX174,Escherichia phage phiX174
MK542545.1,Expression vector pLT_229,Expression vector pLT_229
LC566215.1,Enterococcus faecium,Enterococcus faecium
OV016108.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LN590753.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597675.1,synthetic construct,synthetic construct
LN590720.1,Cyprinus carpio,Cyprinus carpio (common carp)
AF299314.1,Escherichia phage phiX174,Escherichia phage phiX174
LC597754.1,synthetic construct,synthetic construct
XR_002394037.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
MW583076.1,Vitis arizonica,Vitis arizonica
LN592517.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN598306.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380010.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_008193346.1,Gossypium raimondii,Gossypium raimondii
LC183547.1,Dioon stevensonii,Dioon stevensonii
LN598077.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590715.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_007198979.1,Rhodamnia argentea,Rhodamnia argentea
LN590761.1,Cyprinus carpio,Cyprinus carpio (common carp)
OX241174.1,Danio rerio,Danio rerio (zebrafish)
MW583078.1,Vitis palmata,Vitis palmata
XR_002394042.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN595243.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583048.1,Vitis ficifolia,Vitis ficifolia
XR_002394001.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LC597785.1,synthetic construct,synthetic construct
LC597748.1,synthetic construct,synthetic construct
NC_053004.1,Salmonella phage TS13,Salmonella phage TS13
XR_002394017.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XR_002394000.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
AP024868.1,Vibrio comitans,Vibrio comitans
LT972175.1,Larimichthys crocea,Larimichthys crocea (large yellow croaker)
LM527081.1,Strongyloides papillosus,Strongyloides papillosus
OV377758.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
HM753704.1,Escherichia phage phiX174,Escherichia phage phiX174
LN593720.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN594584.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC183529.1,Dioon holmgrenii,Dioon holmgrenii
LN590694.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583105.1,Cissus antarctica,Cissus antarctica
LN590759.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753681.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590677.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM775309.1,Escherichia phage phiX174,Escherichia phage phiX174
LN593543.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583109.1,Vitis flexuosa,Vitis flexuosa
LN590681.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN590701.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753683.1,Escherichia phage phiX174,Escherichia phage phiX174
JQ764988.2,Escherichia phage phiX174,Escherichia phage phiX174
MG188275.1,Cloning vector pCA-DEST1200,Cloning vector pCA-DEST1200
LC580288.1,Synthliboramphus antiquus,Synthliboramphus antiquus (ancient murrelet)
LC597703.1,synthetic construct,synthetic construct
HM753676.1,Escherichia phage phiX174,Escherichia phage phiX174
LN596327.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_002394039.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
BK055277.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
MW583094.1,Pterisanthes heterantha,Pterisanthes heterantha
XR_002394038.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LC183543.1,Dioon sonorense,Dioon sonorense
OM970794.1,Limnanthes alba,Limnanthes alba (white meadowfoam)
LC183522.1,Dioon califanoi,Dioon califanoi
XM_037697963.1,Nematolebias whitei,Nematolebias whitei (Rio pearlfish)
XR_002394018.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LN592426.1,Cyprinus carpio,Cyprinus carpio (common carp)
MT947439.1,Protaetiibacter phage SSC1,Protaetiibacter phage SSC1
LN593806.1,Cyprinus carpio,Cyprinus carpio (common carp)
NC_001422.1,Escherichia phage phiX174,Escherichia phage phiX174
MW583069.1,Vitis chungii,Vitis chungii
BK053561.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
