Accesion,Organism,Source
XM_050078264.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
CP114486.1,Coriaria nepalensis,Coriaria nepalensis
CP114464.1,Coriaria nepalensis,Coriaria nepalensis
XR_007214911.1,Ricinus communis,Ricinus communis (castor bean)
XR_007214912.1,Ricinus communis,Ricinus communis (castor bean)
CP090167.1,Fulvia fulva,Fulvia fulva
LR721777.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
CP114484.1,Coriaria nepalensis,Coriaria nepalensis
CP114466.1,Coriaria nepalensis,Coriaria nepalensis
XR_007214910.1,Ricinus communis,Ricinus communis (castor bean)
XR_007573240.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
XM_047905612.1,Fulvia fulva,Fulvia fulva
XR_007573238.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
XM_031393689.1,Pistacia vera,Pistacia vera
LR721785.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
XR_007573239.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
XM_050078265.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
OU503056.1,Fraxinus pennsylvanica,Fraxinus pennsylvanica
